ID_Destino,ID_Origen,Aereolinea,ID_Aereolinea
67,169,JV,1434
2956,4029,S7,4329
1423,1626,U2,2297
1563,1335,A5,1203
1399,1636,FR,4296
3617,4348,G4,35
3469,156,AC,330
2650,2816,5Q,18232
340,490,BM,312
3395,3179,3U,4608
628,1230,DY,3737
3533,1871,NK,4687
2997,3137,9W,3000
3304,3307,AK,576
6269,3320,QF,4089
492,680,W6,5461
3370,3316,CZ,1767
490,1056,FR,4296
1636,469,BE,2421
304,1359,FR,4296
7384,6477,NHG,3574
2923,9026,6R,1340
2279,3121,NH,324
535,502,BA,1355
1205,344,4U,2548
2925,2923,6R,1340
3368,3387,BK,4026
3453,3514,AA,24
5673,302,3O,9818
3830,3462,AA,24
3492,7136,J5,10912
644,1678,LX,4559
507,2985,SU,130
5770,3448,9K,1629
1460,1613,AB,214
7395,2528,AD,13983
3364,6355,CA,751
3351,3275,EY,2222
491,1229,U2,2297
4029,1584,UN,5067
1382,3752,AA,24
1562,494,FR,4296
1629,1634,S4,4304
1517,608,FR,4296
3977,2072,IY,5496
1932,5859,UP,1403
3975,2082,IY,5496
3393,6387,FM,4609
